Ano da Produção	Identificador do PPG	Código do PPG	Nome do PPG	Área de Avaliação	IES Sigla	IES Nome	ID da Produção	Nome da Produção	Produção vinculada a TCC concluído	Importada Lattes?	Inconsistente	Tipo de Produção	Subtipo de Produção	Item de Detalhamento	Valor do Item de Detalhamento	Área de Concentração	Linha de Pesquisa	Projeto	Nome do Autor Principal	Categoria do Autor Principal	Entre as 5 produções mais relevantes do programa?	Qualis	ISSN	DOI	cited_by_fbwalls_count	cited_by_feeds_count	cited_by_gplus_count	cited_by_msm_count	cited_by_posts_count	cited_by_rdts_count	cited_by_tweeters_count	cited_by_videos_count	cited_by_accounts_count	cited_by_patents_count	mendeley	altmetric_score	is_oa	citations	source_id	SJR	SJR_year	CiteScore	CiteScore_year	PlumX
2021	202784	23001011043P6	FISIOTERAPIA	EDUCAÇÃO FÍSICA	UFRN	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	11399955	1ST BRAZILIAN RECOMMENDATION OF PHYSIOTHERAPY FOR SENSORY MOTOR STIMULATION TO NEWBORNS AND INFANTS IN THE INTENSIVE CARE UNIT	Não	Sim	Não	BIBLIOGRÁFICA	ARTIGO EM PERIÓDICO	Cidade	NA	AVALIAÇÃO E INTERVENÇÃO EM FISIOTERAPIA	AVALIAÇÃO E INTERVENÇÃO NO SISTEMA NERVOSO	NA	CINTIA JOHNSTON	Participante Externo	Não	NA	1982-4335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21100229105	0.373	2023	2.7	2022	NA
2021	202784	23001011043P6	FISIOTERAPIA	EDUCAÇÃO FÍSICA	UFRN	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	11399955	1ST BRAZILIAN RECOMMENDATION OF PHYSIOTHERAPY FOR SENSORY MOTOR STIMULATION TO NEWBORNS AND INFANTS IN THE INTENSIVE CARE UNIT	Não	Sim	Não	BIBLIOGRÁFICA	ARTIGO EM PERIÓDICO	Divulgação	MEIO DIGITAL	AVALIAÇÃO E INTERVENÇÃO EM FISIOTERAPIA	AVALIAÇÃO E INTERVENÇÃO NO SISTEMA NERVOSO	NA	CINTIA JOHNSTON	Participante Externo	Não	NA	1982-4335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21100229105	0.373	2023	2.7	2022	NA
2021	202784	23001011043P6	FISIOTERAPIA	EDUCAÇÃO FÍSICA	UFRN	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	11399955	1ST BRAZILIAN RECOMMENDATION OF PHYSIOTHERAPY FOR SENSORY MOTOR STIMULATION TO NEWBORNS AND INFANTS IN THE INTENSIVE CARE UNIT	Não	Sim	Não	BIBLIOGRÁFICA	ARTIGO EM PERIÓDICO	Fascículo	NA	AVALIAÇÃO E INTERVENÇÃO EM FISIOTERAPIA	AVALIAÇÃO E INTERVENÇÃO NO SISTEMA NERVOSO	NA	CINTIA JOHNSTON	Participante Externo	Não	NA	1982-4335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21100229105	0.373	2023	2.7	2022	NA
2021	202784	23001011043P6	FISIOTERAPIA	EDUCAÇÃO FÍSICA	UFRN	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	11399955	1ST BRAZILIAN RECOMMENDATION OF PHYSIOTHERAPY FOR SENSORY MOTOR STIMULATION TO NEWBORNS AND INFANTS IN THE INTENSIVE CARE UNIT	Não	Sim	Não	BIBLIOGRÁFICA	ARTIGO EM PERIÓDICO	ISSN / Título do periódico	(1982-4335) REVISTA BRASILEIRA DE TERAPIA INTENSIVA	AVALIAÇÃO E INTERVENÇÃO EM FISIOTERAPIA	AVALIAÇÃO E INTERVENÇÃO NO SISTEMA NERVOSO	NA	CINTIA JOHNSTON	Participante Externo	Não	NA	1982-4335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21100229105	0.373	2023	2.7	2022	NA
2021	202784	23001011043P6	FISIOTERAPIA	EDUCAÇÃO FÍSICA	UFRN	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	11399955	1ST BRAZILIAN RECOMMENDATION OF PHYSIOTHERAPY FOR SENSORY MOTOR STIMULATION TO NEWBORNS AND INFANTS IN THE INTENSIVE CARE UNIT	Não	Sim	Não	BIBLIOGRÁFICA	ARTIGO EM PERIÓDICO	Idioma	PORTUGUES	AVALIAÇÃO E INTERVENÇÃO EM FISIOTERAPIA	AVALIAÇÃO E INTERVENÇÃO NO SISTEMA NERVOSO	NA	CINTIA JOHNSTON	Participante Externo	Não	NA	1982-4335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21100229105	0.373	2023	2.7	2022	NA
2021	202784	23001011043P6	FISIOTERAPIA	EDUCAÇÃO FÍSICA	UFRN	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	11399955	1ST BRAZILIAN RECOMMENDATION OF PHYSIOTHERAPY FOR SENSORY MOTOR STIMULATION TO NEWBORNS AND INFANTS IN THE INTENSIVE CARE UNIT	Não	Sim	Não	BIBLIOGRÁFICA	ARTIGO EM PERIÓDICO	Natureza	Completo	AVALIAÇÃO E INTERVENÇÃO EM FISIOTERAPIA	AVALIAÇÃO E INTERVENÇÃO NO SISTEMA NERVOSO	NA	CINTIA JOHNSTON	Participante Externo	Não	NA	1982-4335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21100229105	0.373	2023	2.7	2022	NA
2021	202784	23001011043P6	FISIOTERAPIA	EDUCAÇÃO FÍSICA	UFRN	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	11399955	1ST BRAZILIAN RECOMMENDATION OF PHYSIOTHERAPY FOR SENSORY MOTOR STIMULATION TO NEWBORNS AND INFANTS IN THE INTENSIVE CARE UNIT	Não	Sim	Não	BIBLIOGRÁFICA	ARTIGO EM PERIÓDICO	Nome da editora	NA	AVALIAÇÃO E INTERVENÇÃO EM FISIOTERAPIA	AVALIAÇÃO E INTERVENÇÃO NO SISTEMA NERVOSO	NA	CINTIA JOHNSTON	Participante Externo	Não	NA	1982-4335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21100229105	0.373	2023	2.7	2022	NA
2021	202784	23001011043P6	FISIOTERAPIA	EDUCAÇÃO FÍSICA	UFRN	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	11399955	1ST BRAZILIAN RECOMMENDATION OF PHYSIOTHERAPY FOR SENSORY MOTOR STIMULATION TO NEWBORNS AND INFANTS IN THE INTENSIVE CARE UNIT	Não	Sim	Não	BIBLIOGRÁFICA	ARTIGO EM PERIÓDICO	Número da página final	30	AVALIAÇÃO E INTERVENÇÃO EM FISIOTERAPIA	AVALIAÇÃO E INTERVENÇÃO NO SISTEMA NERVOSO	NA	CINTIA JOHNSTON	Participante Externo	Não	NA	1982-4335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21100229105	0.373	2023	2.7	2022	NA
2021	202784	23001011043P6	FISIOTERAPIA	EDUCAÇÃO FÍSICA	UFRN	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	11399955	1ST BRAZILIAN RECOMMENDATION OF PHYSIOTHERAPY FOR SENSORY MOTOR STIMULATION TO NEWBORNS AND INFANTS IN THE INTENSIVE CARE UNIT	Não	Sim	Não	BIBLIOGRÁFICA	ARTIGO EM PERIÓDICO	Número da página inicial	12	AVALIAÇÃO E INTERVENÇÃO EM FISIOTERAPIA	AVALIAÇÃO E INTERVENÇÃO NO SISTEMA NERVOSO	NA	CINTIA JOHNSTON	Participante Externo	Não	NA	1982-4335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21100229105	0.373	2023	2.7	2022	NA
2021	202784	23001011043P6	FISIOTERAPIA	EDUCAÇÃO FÍSICA	UFRN	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	11399955	1ST BRAZILIAN RECOMMENDATION OF PHYSIOTHERAPY FOR SENSORY MOTOR STIMULATION TO NEWBORNS AND INFANTS IN THE INTENSIVE CARE UNIT	Não	Sim	Não	BIBLIOGRÁFICA	ARTIGO EM PERIÓDICO	Número do DOI	NA	AVALIAÇÃO E INTERVENÇÃO EM FISIOTERAPIA	AVALIAÇÃO E INTERVENÇÃO NO SISTEMA NERVOSO	NA	CINTIA JOHNSTON	Participante Externo	Não	NA	1982-4335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21100229105	0.373	2023	2.7	2022	NA
